device_id,chipset,cpu,gpu,screen_size_inch,refresh_rate_hz,display_type,resolution_width,resolution_height,main_camera_mp,main_camera_aperture,has_ois,optical_zoom_x,battery_mah,charging_w,weight_g,thickness_mm,has_5g
xiaomi_redmi_note_15_pro__5g__global__14326,Qualcomm SM7635-AC Snapdragon 7s Gen 4 (4 nm),Octa-core (1x2.7 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520),Adreno 810,6.83,120,"AMOLED, 68B colors, 120Hz, 3840Hz PWM, HDR10+, Dolby Vision, 3200 nits (peak)",1280,2772,200,1.7,1,0.0,6500,100,207.0,8.2,1
xiaomi_15_ultra_13657,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,6.73,120,"LTPO AMOLED, 68B colors, 120Hz, 1920Hz PWM, Dolby Vision, HDR10+, HDR Vivid, 3200 nits (peak)",1440,3200,50,1.6,1,3.0,5410,90,226.0,9.4,1
oppo_reno16_f_5g_14751,Mediatek Dimensity 7300 Energy (4 nm),Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,6.57,120,"AMOLED, 1B colors, 120Hz, 600 nits (typ), 1400 nits (HBM)",1080,2372,50,1.8,1,3.5,7000,80,197.0,8.4,1
oppo_find_x9s_5g_14617,Mediatek Dimensity 9500s (3 nm),Octa-core (1x3.73 GHz Cortex-X925 & 3x3.3 GHz Cortex-X4 & 4x2.4 GHz Cortex-A720),Immortalis-G925 MC11,6.59,120,"AMOLED, 1B colors, 120Hz, 3840Hz PWM, Dolby Vision, 800 nits (typ), 3600 nits (peak)",1256,2760,50,1.8,1,3.0,7025,80,202.0,8.0,1
oppo_find_n6_5g_14389,Qualcomm SM8850-AC Snapdragon 8 Elite Gen 5 (3 nm),Hepta-core (2x4.6 GHz Oryon V3 Phoenix L + 5x3.62 GHz Oryon V3 Phoenix M),Adreno 840,8.12,120,"Foldable LTPO OLED, 1B colors, 120Hz, 2160Hz PWM, Dolby Vision, HDR10+, HDR Vivid, 600 nits (typ), 1800 nits (HBM), 2500 nits (peak)",2248,2480,200,1.8,1,3.0,6000,80,225.0,4.2,1
oppo_find_x9_ultra_5g_14548,Qualcomm SM8850-AC Snapdragon 8 Elite Gen 5 (3 nm),Octa-core (2x4.6 GHz Oryon V3 Phoenix L + 6x3.62 GHz Oryon V3 Phoenix M),Adreno 840,6.82,144,"LTPO AMOLED, 1B colors, 144Hz, Dolby Vision, HDR10+, 800 nits (typ), 1800 nits (HBM), 3600 nits (peak)",1440,3168,200,1.5,1,3.0,7050,100,235.0,8.7,1
oppo_reno15_5g__global__14395,Qualcomm SM7750-AB Snapdragon 7 Gen 4 (4 nm),Octa-core (1x2.8 GHz Cortex-720 & 4x2.4 GHz Cortex-720 & 3x1.8 GHz Cortex-520),Adreno 722,6.59,120,"AMOLED, 1B colors, 120Hz, HDR10+, 600 nits (typ), 1200 nits (HBM)",1256,2760,50,1.8,1,3.5,6500,80,197.0,7.8,1
oppo_reno15_f_5g_14396,Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,6.57,120,"AMOLED, 1B colors, 120Hz, 600 nits (typ), 1400 nits (HBM)",1080,2372,50,1.8,1,0.0,7000,80,195.0,8.1,1
oppo_reno12_13133,Mediatek Dimensity 7300 Energy (4 nm),Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,6.7,120,"AMOLED, 1B colors, 120Hz, HDR10+, 1200 nits (peak)",1080,2412,50,1.8,1,0.0,5000,80,177.0,7.6,1
oppo_find_x9_pro_14094,Mediatek Dimensity 9500 (3 nm),Octa-core (1x4.21 GHz C1-Ultra & 3x3.5 GHz C1-Premium & 4x2.7 GHz C1-Pro),Arm G1-Ultra,6.78,120,"LTPO AMOLED, 1B colors, 120Hz, 2160Hz PWM, Dolby Vision, HDR10+, HDR Vivid, 800 nits (typ), 1800 nits (HBM), 3600 nits (peak)",1272,2772,50,1.5,1,3.0,7500,80,224.0,8.3,1
